Student_ID,Full_Name,Date_of_Birth,Grade_Level,Emergency_Contact
S00001,Donna Williams,2007-02-10,Grade 3,781-534-4258x9046
S00002,John Stafford,2014-11-26,Grade 5,+1-782-691-6291x99704
S00003,Chad Harper,2017-02-07,Grade 3,308.517.3750
S00004,Anthony Martin,11-10-2014,Grade 5,306-771-1524x116
S00005,Mary Stone,04-01-2016,Grade 3,+1-794-484-8495x7772
S00006,Joe Wells,2017-06-29,Grade 2,+1-933-864-5644x501
S00007,Margaret Nixon,2009-12-04,Grade 4,706.708.0421x412
S00008,James Wheeler,2011-01-25,Grade 1,(605)818-0057x877
S00009,Benjamin Cook,2007-10-04,Grade 4,(489)503-7511x611
S00010,Aaron Callahan,2012-02-18,Grade 4,
S00011,christopher church,2008-02-23,Grade 1,
S00012,Jonathan Solis,2016-07-07,Grade 1,+1-534-253-4789x8656
S00013,Robert Sanders,2008-04-30,Grade 2,+1-637-642-1016x7779
S00014,Melanie Gilmore,2006-08-19,Grade 4,001-569-842-8327x8506
S00015,Alexandria Wallace,2006-06-21,Grade 2,+1-283-259-6520x7061
S00016,Ann Wilkerson,2007-09-02,Grade 3,+1-735-270-0046x90671
S00017,Kelly Delgado,2015-06-28,Grade 2,001-993-871-2154x45650
S00018,Michael Baker,2008-07-21,Grade 1,+1-266-564-5904x54580
S00019,Jennifer Adams,2015-01-03,Grade 4,001-209-613-8159
S00020,Elizabeth Lopez,2016-04-21,Grade 3,001-436-781-9737x4414
S00021,Patricia Atkins,2019-01-07,Grade 5,(908)400-6429x947
S00022,Justin Wright,2010-06-25,Grade 2,975-914-9462x2990
S00023,Justin Sandoval,05-22-2016,Grade 1,898-679-5228
S00024,Kimberly Massey,2008-05-05,Grade 3,+1-888-444-9025
S00025,Theresa Marsh,2009-04-18,Grade 2,676-696-6482
S00026,Todd Noble,2006-05-03,Grade 3,(730)399-1378
S00027,Jonathan Cline,2009-03-13,Grade 3,903.336.7816
S00028,Diana Fitzpatrick,2008-09-12,Grade 5,468-329-0737
S00029,brandi winters,2007-01-14,Grade 3,001-223-628-6249
S00030,Vincent Harrison,2013-01-26,Grade 3,+1-795-919-8159
S00031,Michael May,2009-01-13,Grade 4,+1-375-642-0607x9672
S00032,Katherine Chang,2010-09-03,Grade 4,+1-435-617-1689x00179
S00033,Kenneth Levine,2019-01-15,Grade 1,(529)506-0532
S00034,Melissa Cohen,2016-08-20,Grade 1,(955)737-4295
S00035,Pamela Lambert,2010-11-06,Grade 2,5913609003
S00036,James Stewart,2010-10-03,Grade 3,462.769.5212x47777
S00037,Rebecca Barr,2007-04-24,Grade 1,001-819-332-6636x418
S00038,Brandi Carroll,04-09-2018,Grade 1,(939)450-3967x848
S00039,Jordan Jenkins,2018-12-16,Grade 1,(393)709-1081
S00040,Frank Douglas,2017-08-22,Grade 5,(561)402-3053
S00041,Robert Walters,2017-03-28,Grade 1,001-574-742-1671x902
S00042,Timothy Russell,2010-02-03,Grade 3,(714)571-0022x0344
S00043,Amanda Davis,2008-01-17,Grade 2,
S00044,Vicki Whitaker,2013-10-16,Grade 1,542.861.3947
S00045,Melanie Martinez,07-03-2011,Grade 5,(733)606-6480
S00046,Michael Pennington,2012-03-08,Grade 1,+1-557-976-2931x631
S00047,deborah robinson,2012-07-19,Grade 1,644-521-8876
S00048,Jonathon Ortiz,06-27-2016,Grade 2,3838713344
S00049,david soto,2015-05-06,Grade 2,890.344.3191x4523
S00050,Alex Evans,2006-10-05,Grade 2,(320)202-0791x71781
S00051,Jesse Hayes,2015-02-16,Grade 5,001-488-514-9535x46355
S00052,Robert Fox,2009-02-16,Grade 4,810.814.1294x88853
S00053,Brian Meyer,08-25-2010,Grade 4,+1-391-973-1573x4962
S00054,Thomas Morales,2017-09-30,Grade 2,(901)568-5838
S00055,Susan Miller,2012-07-18,Grade 4,627.294.0839x30853
S00056,Victoria Lewis,08-25-2006,Grade 3,
S00057,Robert Foster,2012-07-02,Grade 5,9737272308
S00058,Steven Donovan,2017-06-06,Grade 5,001-309-741-6530x084
S00059,Kiara Meadows,2008-02-03,Grade 2,526.873.3321
S00060,Shawn Carroll,2007-08-27,Grade 3,+1-284-997-6975x318
S00061,kent davenport,2012-08-05,Grade 4,001-974-818-4092
S00062,Jason Clark,2018-07-22,Grade 3,
S00063,jason marquez,2016-08-01,Grade 2,672-207-7384
S00064,Danielle Curtis,2012-04-12,Grade 3,+1-937-502-0746x53513
S00065,Laura Stanley,2015-12-13,Grade 2,840.935.3883
S00066,Wyatt Nelson,2010-01-10,Grade 5,(938)496-2179x2337
S00067,Philip Hill,2015-02-02,Grade 1,001-265-765-8985x04502
S00068,Robert Clark,2017-09-09,Grade 3,646.995.0750
S00069,william ford,2011-03-11,Grade 5,677-294-1469x96297
S00070,Martin Bennett MD,02-01-2010,Grade 1,447-214-4052
S00071,Madison Ellis,2012-06-16,Grade 4,929-669-3154
S00072,Dean Cook,2014-11-04,Grade 4,001-758-844-1898
S00073,Christopher Salinas,2011-01-04,Grade 5,+1-345-573-1319x25182
S00074,Mr. Mark Erickson,2017-03-14,Grade 4,(830)226-4434x860
S00075,Jasmine Allen,2017-10-12,Grade 1,2018302268
S00076,robert martin,2013-06-28,Grade 1,583-732-3507
S00077,Amanda Perry,03-22-2009,Grade 2,661-265-1096
S00078,Brian Sims,2012-02-11,Grade 3,+1-645-569-2056
S00079,Krista Martinez,2008-05-03,Grade 2,281.813.2086x65169
S00080,Aaron Baldwin,2013-04-26,Grade 4,805-939-0145
S00081,John Underwood,2013-05-01,Grade 1,+1-547-943-4476
S00082,Shawn Martin,2016-10-12,Grade 4,735-761-2346x7222
S00083,Michael Harrison,2017-07-21,Grade 3,212-346-7556x883
S00084,wanda eaton,2012-09-14,Grade 4,(920)333-9999x29113
S00085,Taylor Juarez,2018-06-07,Grade 2,(823)791-7451x6613
S00086,Michael Lee,03-24-2010,Grade 3,001-577-831-6105x317
S00087,Beth Mendoza,2012-01-18,Grade 3,887.394.4200
S00088,Michele James,08-08-2014,Grade 5,+1-642-207-7825x9469
S00089,Noah Dougherty,2006-06-02,Grade 5,(859)255-3549x677
S00090,David Downs,2011-11-26,Grade 2,001-922-813-4880
S00091,Mary Williams,2014-10-19,Grade 3,(860)760-0220x9569
S00092,Jason Parker,02-15-2011,Grade 3,5635730168
S00093,robert stewart,2009-06-30,Grade 1,+1-477-789-7616x158
S00094,paul ortega,2013-02-15,Grade 2,(999)431-7914
S00095,George Williams,2008-09-01,Grade 2,+1-401-399-8240x5936
S00096,Dawn Hall,2007-05-21,Grade 4,+1-795-792-4545
S00097,Tyler Schroeder,2009-03-25,Grade 5,+1-314-761-8012x48970
S00098,Courtney Taylor,2006-06-03,Grade 3,258-779-3223x424
S00099,Jason George,2011-06-04,Grade 2,
S00100,Anthony Villarreal,2016-04-12,Grade 3,(935)617-3478x6764
S00101,William Mitchell,2008-11-06,Grade 5,749.923.7131x37550
S00102,Stacey Ramos,2011-06-11,Grade 4,764.975.1451
S00103,Jacqueline Richard,2010-10-19,Grade 5,+1-744-926-8903
S00104,Allison Flores,2014-10-06,Grade 3,7568298027
S00105,John Singleton,2008-07-21,Grade 3,559-603-6410
S00106,Matthew Chandler,2006-12-29,Grade 1,(779)498-1573
S00107,Brian Ferguson,2017-01-13,Grade 3,+1-259-851-3309x68675
S00108,James Orozco,10-08-2012,Grade 5,774-779-6874x1712
S00109,Sandy Lee,2017-09-28,Grade 1,+1-464-608-0980x749
S00110,Scott Perez,2007-04-19,Grade 5,(948)628-8304x11021
S00111,Dylan Jones,2009-10-01,Grade 1,813-751-1036
S00112,Barbara Taylor,2015-10-26,Grade 5,
S00113,Brandon Garcia,2006-08-15,Grade 2,+1-541-463-4530x74598
S00114,Kathryn Wilson,2009-08-02,Grade 2,(302)366-6634
S00115,Brian Lowe,2007-10-29,Grade 3,222.761.3749x29075
S00116,Julie Schneider,2016-07-12,Grade 1,625.450.0857
S00117,Julie Bush,2014-07-26,Grade 5,726.427.4243x66185
S00118,Ellen Carter,2016-05-31,Grade 3,8367972128
S00119,Kimberly Ryan,2007-02-20,Grade 1,
S00120,Paul Ramos,2018-09-25,Grade 1,+1-453-850-8972x4586
S00121,Benjamin Martin,2012-03-27,Grade 4,680.867.6297x1013
S00122,kristine johnston,01-02-2014,Grade 4,+1-792-896-7675x900
S00123,Elizabeth Morales,2018-03-18,Grade 2,(957)807-3322x9791
S00124,Glenn Alexander,2015-10-31,Grade 5,749-446-5768x5902
S00125,Charles Guerrero,04-25-2017,Grade 5,(866)688-9369
S00126,Jeremy Rhodes,2011-03-05,Grade 3,716-750-8815
S00127,Denise Evans,2010-06-23,Grade 3,649.801.9380
S00128,Dr. Jamie Stewart,2007-04-14,Grade 3,+1-310-426-3533x5178
S00129,Anthony White,2017-01-30,Grade 2,774-490-1258
S00130,Eduardo Miranda,2012-06-30,Grade 1,990.638.5401x29299
S00131,Gregory Schroeder,2013-04-05,Grade 3,
S00132,Jeremiah Frank,2015-11-30,Grade 1,+1-446-493-5059x44155
S00133,Kathy Jordan,2016-06-09,Grade 4,682.965.6945x6002
S00134,Brett Knight,2018-06-20,Grade 4,972-273-5638
S00135,Traci Johnson,2007-07-28,Grade 1,6562939872
S00136,Mr. John Salas,2016-04-18,Grade 2,001-556-620-3226x8281
S00137,Cory Garcia,2011-09-12,Grade 4,9676379410
S00138,michael mccall,2017-07-17,Grade 2,653.629.8453
S00139,Jeffrey Pace,2014-04-17,Grade 5,854.241.8982
S00140,Joshua Smith,2007-06-01,Grade 3,001-741-649-2163x714
S00141,mary mccullough dds,2006-06-19,Grade 5,001-716-752-5816x998
S00142,Brian Phillips,2009-10-04,Grade 5,(874)461-7223x9991
S00143,cynthia macdonald,2008-06-12,Grade 3,916-372-4695x15443
S00144,Dylan Riddle,2016-05-16,Grade 5,+1-280-383-2852x122
S00145,Bonnie Mitchell,2017-05-12,Grade 3,387-490-6820
S00146,Kaylee Stewart,05-10-2009,Grade 1,774-946-3285x062
S00147,Kimberly Williams,2009-01-11,Grade 2,6567747324
S00148,travis moreno,2015-05-13,Grade 5,+1-568-423-9707x37227
S00149,Nicholas Pope,2015-08-06,Grade 3,(831)807-6360
S00150,William Griffin,2015-06-09,Grade 5,
